time,open,high,low,close,volumeto,coin
2024-01-01,0.5938,0.6242,0.5905,0.6234,19115404.63,ada
2024-01-02,0.6234,0.6372,0.6022,0.6052,29680628.54,ada
2024-01-03,0.6052,0.6187,0.5346,0.5572,53874007.8,ada
2024-01-04,0.5572,0.579,0.5499,0.5704,27363954.9,ada
2024-01-05,0.5704,0.5731,0.5226,0.5419,31754702.64,ada
2024-01-06,0.5419,0.5433,0.5075,0.5231,20137921.97,ada
2024-01-07,0.5231,0.5303,0.4883,0.4946,20255458.38,ada
2024-01-08,0.4946,0.5448,0.465,0.5416,42975948.45,ada
2024-01-09,0.5416,0.5438,0.4966,0.5123,30498183.66,ada
2024-01-10,0.5123,0.5897,0.4879,0.5662,48877074.88,ada
2024-01-11,0.5662,0.619,0.5608,0.5821,55068404.21,ada
2024-01-12,0.5821,0.5887,0.5267,0.5476,33456394.83,ada
2024-01-13,0.5476,0.5535,0.5311,0.5489,14777224.52,ada
2024-01-14,0.5489,0.5499,0.5235,0.5248,13237631.33,ada
2024-01-15,0.5248,0.5442,0.5215,0.5274,12984389.91,ada
2024-01-16,0.5274,0.548,0.5252,0.5354,12633783.05,ada
2024-01-17,0.5354,0.5394,0.5208,0.5278,11914369.9,ada
2024-01-18,0.5278,0.5278,0.4954,0.5019,22031418.99,ada
2024-01-19,0.5019,0.5048,0.4709,0.5041,24225478.61,ada
2024-01-20,0.5041,0.5174,0.4984,0.5157,13288154.41,ada
2024-01-21,0.5157,0.5199,0.5021,0.5027,11359638.31,ada
2024-01-22,0.5027,0.5057,0.4751,0.4781,20281474.79,ada
2024-01-23,0.4781,0.4857,0.4474,0.477,26662218.68,ada
2024-01-24,0.477,0.4799,0.464,0.4762,20082829.73,ada
2024-01-25,0.4762,0.4836,0.4585,0.4663,14768929.71,ada
2024-01-26,0.4663,0.4901,0.463,0.4848,11513892.57,ada
2024-01-27,0.4848,0.4899,0.4754,0.4861,6933551.69,ada
